,method,ratio,lbd,acc,baseline_flops,remaining_flops,nmb_params_before,nmb_params_after
0,ns_l1_norm_ratio,0.095,0.01,0.8997,416520,284320,2550,1600
1,ns_l1_norm_ratio,0.99,0.01,0.1,416520,10920,2550,0
