,ts,acc,baseline_flops,remaining_flops
0,0.91,0.3706,0.41651999999999995,0.26944
1,0.93,0.37,0.41651999999999995,0.22436
3,0.97,0.2898,0.41652,0.13396
4,0.99,0.3527,0.41652,0.06766
