la_trees,mean_nmb_trees,std_nmb_trees
0.0,500.0,0.0
0.0001,500.0,0.0
0.0001778279410038,500.0,0.0
0.0003162277660168,500.0,0.0
0.0005623413251903,500.0,0.0
0.001,499.0,1.4142135623730951
0.0011071731788899,497.75,2.0615528128088303
0.0012258324480531,494.25,1.707825127659933
0.0013572088082974,475.0,3.9157800414902435
0.0015026651907,413.0,8.831760866327848
0.0016637105959946,182.0,9.128709291752768
0.0017782794100389,33.25,10.90489186863706
0.0018420157493201,17.25,4.272001872658765
0.0020394304327401,5.0,1.4142135623730951
0.0022580026753417,4.0,0.816496580927726
0.0025,3.25,0.9574271077563381
0.0031622776601683,2.25,0.5
0.0056234132519034,1.0,0.0
0.01,1.0,0.0
0.01778279410038924,0.0,0.0
0.0316227766016838,0.0,0.0
0.05623413251903493,0.0,0.0
0.10000000000000002,0.0,0.0
